,1. open,2. high,3. low,4. close,5. volume
2026-01-20,429.36,430.725,417.44,419.25,62208186.0
2026-01-16,439.5,447.25,435.2601,437.5,60220551.0
2026-01-15,441.125,445.36,437.65,438.57,49465813.0
2026-01-14,442.81,443.91,434.22,439.2,57259500.0
2026-01-13,450.2,451.81,443.95,447.2,53719214.0
2026-01-12,441.225,454.3,438.0,448.96,61649627.0
2026-01-09,435.945,449.05,430.39,445.01,67331456.0
2026-01-08,427.89,436.89,424.365,435.8,57041094.0
2026-01-07,435.9,438.37,431.29,431.41,59828790.0
2026-01-06,446.38,448.25,428.78,432.96,89093758.0
2026-01-05,447.99,457.5499,444.57,451.67,67940839.0
2026-01-02,457.8,458.34,435.3,438.07,85535406.0
2025-12-31,456.1,456.55,449.3,449.72,49077961.0
2025-12-30,461.09,463.12,453.83,454.43,59238464.0
2025-12-29,469.0,469.4,459.0,459.64,66263033.0
2025-12-26,485.23,489.09,473.82,475.19,58780659.0
2025-12-24,488.48,490.9,476.8,485.4,41285429.0
2025-12-23,489.395,491.97,482.84,485.56,58223633.0
2025-12-22,489.88,498.83,485.33,488.73,86916066.0
2025-12-19,488.12,490.49,474.72,481.2,103305424.0
2025-12-18,478.16,490.86,473.12,483.37,95168446.0
2025-12-17,488.22,495.2799,466.2,467.26,106490405.0
2025-12-16,472.21,491.5,465.83,489.88,107608075.0
2025-12-15,469.44,481.7694,467.66,475.31,114542204.0
2025-12-12,448.09,463.01,441.67,458.96,95656749.0
2025-12-11,448.945,449.2699,440.33,446.89,55979492.0
2025-12-10,446.065,456.88,443.61,451.45,63257475.0
2025-12-09,437.54,452.39,435.7,445.17,62014951.0
2025-12-08,447.445,449.7463,435.25,439.58,68386756.0
2025-12-05,453.03,458.87,451.66,455.0,56427522.0
2025-12-04,449.94,454.63,445.39,454.53,71906488.0
2025-12-03,432.1,447.92,431.11,446.74,87482964.0
2025-12-02,430.81,436.8,422.12,429.24,69336626.0
2025-12-01,425.32,433.6599,425.29,430.14,57463552.0
2025-11-28,426.59,432.93,426.2,430.17,36252861.0
2025-11-26,423.95,426.94,416.89,426.58,63462996.0
2025-11-25,414.42,420.48,405.95,419.4,71915624.0
2025-11-24,402.17,421.72,401.09,417.78,96806374.0
2025-11-21,402.32,402.8,383.76,391.09,100460633.0
2025-11-20,414.63,428.94,394.74,395.23,113548827.0
2025-11-19,406.18,411.78,398.5,403.99,72047704.0
2025-11-18,405.38,408.9,393.71,401.25,80688637.0
2025-11-17,398.74,423.96,398.74,408.92,102214259.0
2025-11-14,386.3,412.19,382.78,404.35,105506682.0
2025-11-13,423.13,424.5,396.34,401.99,118948032.0
2025-11-12,442.15,442.329,426.56,430.6,58513520.0
2025-11-11,439.4,442.49,432.36,439.62,60533237.0
2025-11-10,439.6,449.6715,433.36,445.23,76515907.0
2025-11-07,437.92,439.36,421.88,429.52,103471495.0
2025-11-06,461.96,467.45,435.09,445.91,109622907.0
2025-11-05,452.05,466.3299,440.71,462.07,84911911.0
2025-11-04,454.46,460.22,443.6,444.26,87756644.0
2025-11-03,455.99,474.07,453.8,468.37,84595244.0
2025-10-31,446.75,458.0,443.6855,456.56,83135787.0
2025-10-30,451.05,455.0607,439.61,440.1,72447938.0
2025-10-29,462.5,465.7,452.65,461.51,67983544.0
2025-10-28,454.775,467.0,451.6,460.55,80185667.0
2025-10-27,439.98,460.16,438.69,452.42,105867547.0
2025-10-24,446.83,451.68,430.17,433.72,94727774.0
2025-10-23,420.0,449.3999,413.9,448.98,126709833.0
2025-10-22,443.45,445.539,429.0,438.97,84023458.0
2025-10-21,445.755,449.3,442.05,442.6,54412169.0
2025-10-20,443.865,449.8,440.61,447.43,63718971.0
2025-10-17,425.5,441.4558,423.6,439.31,89331578.0
2025-10-16,434.73,439.35,421.3101,428.75,77189889.0
2025-10-15,434.9,440.51,426.3301,435.15,71558185.0
2025-10-14,426.79,434.2,417.86,429.24,72669438.0
2025-10-13,423.53,436.89,419.7,435.9,79552785.0
2025-10-10,436.54,443.13,411.45,413.49,112107870.0
2025-10-09,431.81,436.35,426.18,435.54,69339928.0
2025-10-08,437.57,441.33,425.23,438.69,71192128.0
2025-10-07,447.82,452.68,432.4501,433.09,102296082.0
2025-10-06,440.75,453.55,436.69,453.25,85324878.0
2025-10-03,443.285,446.77,416.575,429.83,133188180.0
2025-10-02,470.54,470.75,435.57,436.0,137008950.0
2025-10-01,443.8,462.29,440.75,459.46,98122285.0
2025-09-30,441.52,445.0,433.12,444.72,74357960.0
2025-09-29,444.35,450.98,439.5,443.21,79491510.0
2025-09-26,428.3,440.47,421.02,440.4,101628160.0
2025-09-25,435.24,435.35,419.08,423.39,96746426.0
2025-09-24,429.83,444.21,429.0301,442.79,93133570.0
2025-09-23,439.88,440.97,423.72,425.85,83422691.0
2025-09-22,431.11,444.98,429.13,434.21,97108777.0
2025-09-19,421.82,429.47,421.72,426.07,93131034.0
2025-09-18,428.865,432.2199,416.56,416.85,90454509.0
2025-09-17,415.75,428.3121,409.67,425.86,106133532.0
2025-09-16,414.495,423.25,411.43,421.62,104285721.0
2025-09-15,423.13,425.7,402.43,410.04,163823667.0
2025-09-12,370.94,396.6899,370.24,395.94,168156391.0
2025-09-11,350.17,368.99,347.6,368.81,103756010.0
2025-09-10,350.55,356.33,346.07,347.79,72121679.0
2025-09-09,348.44,350.77,343.82,346.97,53815991.0
2025-09-08,354.64,358.44,344.84,346.4,75208290.0
2025-09-05,348.0,355.87,344.6801,350.84,108989785.0
2025-09-04,336.15,338.89,331.48,338.53,60711033.0
2025-09-03,335.2,343.33,328.51,334.09,88238894.0
2025-09-02,328.23,333.33,325.6,329.36,58391952.0
2025-08-29,347.23,348.7499,331.7,333.87,81145660.0
2025-08-28,350.91,353.55,340.26,345.98,67903224.0
2025-08-27,351.94,355.39,349.156,349.6,65519012.0
